AbiBL,AbiLand,Abinote,BFI_K_1,BFI_K_11,BFI_K_12,BFI_K_13,BFI_K_14,BFI_K_16,BFI_K_17,BFI_K_18,BFI_K_19,BFI_K_2,BFI_K_3,BFI_K_4,BFI_K_6,BFI_K_7,BFI_K_8,BFI_K_9,BM_Inf_1,BM_Inf_10,BM_Inf_14,BM_Inf_15,BM_Inf_17,BM_Inf_18,BM_Inf_2,BM_Inf_3,BM_Inf_4,BM_Inf_6,BM_Inf_8,BM_Inf_9,GK_Inf,Ktyp_exp,Ktyp_psych,Kurs_Inf,LK_Inf,LK_Mat,LK_Phy,LMI_1,LMI_10,LMI_11,LMI_12,LMI_13,LMI_14,LMI_15,LMI_16,LMI_17,LMI_18,LMI_19,LMI_2,LMI_20,LMI_21,LMI_22,LMI_23,LMI_24,LMI_25,LMI_26,LMI_27,LMI_28,LMI_29,LMI_3,LMI_30,LMI_4,LMI_5,LMI_6,LMI_7,LMI_8,LMI_9,Note_MfI1_20182_T01,Note_MfI1_20182_T02,Note_Prog1_20182_T01,Note_Prog1_20182_T02,MfI1_beste,Prog1_beste,beste,MfI1_bestanden,Prog1_bestanden,beste_bestanden,beide,Prog1_scaled,SKInf_1,SKInf_2,SKInf_3,SKInf_4,SKMat_1,SKMat_2,SKMat_3,SKMat_4,Semester,Std_Inf,Xp1,Xp2,Xp3,Xt1,Xt2,Xt3,Xtt3,mean_BFI_K_E,mean_BFI_K_G,mean_BFI_K_N,mean_BFI_K_V,mean_LMI,mean_SKInf,mean_SKMat,sex,stg_Bioinf,stg_CKT,stg_Cyber,stg_ES,stg_Inf,stg_InfNeben,stg_MathInf,stg_Medieninf
0,2,6,2,4,2,4,4,3,2,4,3,4,4,3,4,4,1,1,4,3,3,3,3,3,3,3,3,3,2,3,2,10,14,1,2,2,1,7,6,7,7,6,5,3,6,5,5,6,7,6,5,6,6,5,6,6,5,5,6,3,7,5,7,5,5,5,6,600,600,500,500,600,500,500,600,1,1,0,444.536607884242,3,4,4,4,5,6,5,5,2,1,,,,,,,,3.25,3.25,2.75,3,5.63333333333333,3.75,5.25,2,0,0,0,0,1,0,0,0
0,2,6,1,3,3,3,4,3,3,4,3,3,4,4,2,2,4,5,3,2,2,4,2,3,3,4,3,3,3,2,2,10,14,0,2,1,1,7,4,6,7,6,5,4,4,2,4,4,7,6,4,6,7,7,6,7,6,4,7,4,4,6,5,4,7,6,3,500,370,600,370,370,370,370,0,0,0,2,340.376193466299,2,2,2,2,3,3,4,3,2,0,,,,,,,,2.25,3.75,4,2.75,5.3,2,3.25,1,0,0,0,0,1,0,0,0
11,1,6,2,4,2,3,4,4,4,3,5,3,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,1,14,10,3,2,1,2,7,6,4,6,6,3,5,6,4,4,4,5,5,6,5,5,4,6,4,6,6,7,4,6,3,6,6,5,4,5,400,270,100,270,270,100,100,0,0,0,2,124.043025059752,6,6,6,6,5,5,5,4,2,4,,,,,,,,3.25,3.5,4.25,3.25,5.1,6,4.75,2,0,0,0,0,1,0,0,0
0,2,4,3,3,3,3,5,3,2,5,4,3,3,3,3,4,3,3,4,3,2,3,2,3,4,4,3,3,3,3,2,10,14,2,2,1,2,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,3,4,500,600,600,600,500,600,500,1,600,1,0,463.406454730254,4,3,4,4,4,4,4,3,2,2,,,,,,,,3,3.5,3.75,3,4.03333333333333,3.75,3.75,2,0,0,0,0,1,0,0,0
11,1,3.7,4,2,4,3,4,4,5,5,2,3,5,4,4,3,3,4,2,4,3,4,3,4,4,4,4,4,2,1,2,4,8,1,2,2,2,4,6,2,7,7,6,1,6,6,6,7,6,7,6,7,2,6,7,6,7,6,6,6,6,7,7,6,4,2,6,500,500,600,500,500,500,500,1,1,1,0,444.536607884242,7,6,7,7,2,2,1,1,2,1,,,,,,,,3.5,4,3.5,3.75,5.6,6.75,1.5,2,0,0,0,0,0,0,0,0
11,1,3.7,1,5,2,3,2,2,4,3,2,4,2,1,3,3,1,2,3,4,2,2,1,1,3,3,3,2,2,4,2,16,16,0,2,1,2,5,4,5,5,4,3,1,4,4,1,3,5,5,3,6,2,2,2,6,4,3,5,3,6,3,6,5,4,5,3,600,500,600,500,500,500,500,1,1,1,0,444.536607884242,4,5,1,4,6,6,6,5,2,0,,,,,,,,2.75,2.25,1.75,3.25,3.9,3.5,5.75,2,0,0,0,0,1,0,0,0
11,1,3.6,2,4,2,3,4,3,2,4,4,3,3,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,3,4,1,16,16,4,2,2,2,7,6,4,6,5,5,1,5,3,5,6,7,4,5,5,6,4,5,6,4,4,4,2,6,4,7,5,6,2,5,600,600,500,400,600,400,400,600,0,0,1,364.41321217812,6,7,6,7,3,3,3,3,2,2,,,,,,,,3.25,3,3.75,2.75,4.8,6.5,3,2,0,0,1,0,0,0,0,0
11,1,3.5,2,4,2,2,4,3,2,4,1,3,2,3,3,4,1,2,4,3,3,3,2,2,4,4,4,3,2,2,2,10,14,3,1,1,2,3,4,3,3,3,3,5,4,4,4,3,4,5,5,4,3,4,4,4,5,5,4,3,5,2,5,4,3,4,3,500,400,500,370,400,370,370,0,0,0,2,340.376193466299,5,5,4,4,4,3,3,2,2,4,,,,,,,,3,2.25,2.5,2.75,3.83333333333333,4.5,3,2,0,0,0,0,1,0,0,0
10,1,3.4,2,4,3,3,3,2,3,4,3,3,3,2,4,2,2,3,4,4,3,3,2,3,4,4,4,3,3,3,1,16,16,3,2,1,1,6,6,5,5,5,5,6,5,6,5,6,6,6,6,5,6,6,5,6,6,6,5,5,6,4,7,6,5,6,5,500,400,300,500,400,300,300,0,0,0,2,284.289816471997,6,5,5,5,6,6,5,5,2,3,,,,,,,,3,3,2.75,2.75,5.56666666666667,5.25,5.5,2,0,0,0,0,1,0,0,0
0,2,3.4,3,4,1,2,5,4,2,3,4,3,2,5,4,2,1,3,3,3,3,3,1,2,3,4,4,3,1,2,2,4,8,0,2,1,1,3,3,2,5,5,4,1,3,2,5,6,2,2,3,2,2,5,5,4,5,6,5,3,5,4,5,2,3,1,3,370,600,270,600,370,270,270,0,0,0,2,260.252797760176,4,3,2,2,3,2,2,2,2,0,,,,,,,,3.75,2,4.25,2,3.53333333333333,2.75,2.25,2,0,0,1,0,0,0,0,0
11,1,3.3,1,5,4,2,3,1,4,3,5,5,4,3,2,5,2,2,4,4,3,4,3,3,4,4,4,3,3,3,1,8,4,5,2,1,2,7,4,5,3,4,4,4,4,3,1,2,5,5,4,5,3,2,1,3,5,6,5,3,5,2,5,6,4,5,5,500,370,330,370,370,330,330,0,0,0,2,308.326835183838,6,5,6,6,5,5,5,5,2,4,,,,,,,,2.25,2.75,3.25,4.5,4,5.75,5,2,0,0,1,0,0,0,0,0
11,1,3.3,1,5,2,4,4,2,3,4,4,4,4,3,4,4,3,2,4,4,4,4,2,3,3,4,3,4,3,4,1,14,10,3,2,2,2,6,5,6,5,7,4,7,6,7,4,7,6,6,6,4,5,5,3,3,4,6,5,3,6,6,7,5,5,3,5,500,500,500,500,500,500,500,1,1,1,0,444.536607884242,6,6,5,6,4,3,3,3,2,4,,,,,,,,3,3.75,3.25,3.25,5.23333333333333,5.75,3.25,2,0,0,1,0,0,0,0,0
